geo_id,geo_level,conversations,population,share_of_known,per_100k,usage_index,usage_index_lo,usage_index_hi
AE,country,4704.0,10986400,0.0058406703857896885,42.816573217796545,3.049149757343576,2.9620130450373092,3.1362864696498436
AL,country,381.0,2377128,0.00047306450191026176,16.027744404171756,1.1414036502209413,1.026790924615027,1.2560163758268552
AM,country,605.0,3033500,0.0007511916631383422,19.943959123125104,1.420293908422143,1.3071173174143047,1.5334704994299815
AO,country,375.0,37885849,0.0004656146672345096,0.989815484932118,0.07048895833731088,0.06335449139071687,0.07762342528390488
AR,country,4985.0,45696159,0.006189570976437415,10.909013162353537,0.7768770907388364,0.7553107826649791,0.7984433988126937
AT,country,3456.0,9177982,0.004291104773233241,37.655336434523406,2.681596197995,2.592191037805422,2.7710013581845776
AU,country,15906.0,27196812,0.01974951172541896,58.4847959385828,4.164950343814451,4.100223353999972,4.2296773336289295
AZ,country,657.0,10202830,0.0008157568969948608,6.439389855559683,0.45857626007677366,0.4235103629266598,0.49364215722688753
BA,country,394.0,3164253,0.0004892058103743914,12.451596000699059,0.8867309565140777,0.7991721504947081,0.9742897625334473
BD,country,2447.0,173562364,0.0030382909085942536,1.409867867436975,0.10040266987305599,0.09642449061892726,0.1043808491271847
BE,country,4812.0,11858610,0.005974767409953227,40.57811159992613,2.8897394125634492,2.8080902107979906,2.9713886143289074
BF,country,435.0,23548781,0.0005401130139920311,1.8472293746330224,0.13154903758339742,0.11918674215347315,0.1439113330133217
BG,country,1569.0,6441421,0.0019481317677091882,24.357979396161188,1.7346350112463975,1.6488023244473795,1.8204676980454155
BH,country,258.0,1588670,0.0003203428910573426,16.239999496434123,1.156519235482158,1.015395819976579,1.2976426509877375
BJ,country,556.0,14462724,0.0006903513466196996,3.844365694871865,0.27377358449569456,0.25101683558210547,0.2965303334092837
BO,country,728.0,12413315,0.0009039132739912613,5.864670315705354,0.41764804434653724,0.38730907425381905,0.4479870144392554
BR,country,25548.0,211998573,0.031721396049352674,12.051024513264059,0.8582045621317381,0.8476808626802823,0.8687282615831939
CA,country,25902.0,41288599,0.03216093629522205,62.734024954443235,4.46755596236084,4.413148380621703,4.521963544099977
CA-AB,subregion,2641.0,5057077,0.10205580029368576,52.22384393197889,0.8221299958301725,0.7907745944387616,0.8534853972215835
CA-BC,subregion,4895.0,5646420,0.18915681273668752,86.69209871033327,1.3647439442425304,1.3265116025283101,1.4029762859567507
CA-MB,subregion,446.0,1503865,0.017234716747816677,29.65691734297959,0.4668718251241086,0.42354206269860234,0.5102015875496148
CA-NB,subregion,240.0,866497,0.009274287039183864,27.697730055614734,0.4360294643340884,0.380864125775914,0.49119480289226275
CA-NS,subregion,487.0,1090852,0.018819074117010587,44.64400303615889,0.7028049118284954,0.6403845360534026,0.7652252876035881
CA-ON,subregion,11381.0,16103890,0.4397944199706314,70.6723654967837,1.1125544804181096,1.0921141860131574,1.1329947748230618
CA-QC,subregion,5379.0,9016222,0.20785995826570833,59.65913439132266,0.9391795052898412,0.91408065049265,0.9642783600870325
CA-SK,subregion,290.0,1266092,0.011206430172347168,22.905128537262694,0.36058228983214174,0.3190810124000262,0.40208356726425726
CH,country,6287.0,9005582,0.007806185101075632,69.8122564427263,4.971626844332993,4.84873222589904,5.094521462766946
CI,country,1044.0,31934230,0.0012962712335808748,3.2692192672251688,0.2328149682753982,0.21869230121498215,0.24693763533581423
CL,country,2720.0,19764771,0.0033772583863409763,13.761859421492918,0.9800403713345328,0.9432091953634753,1.0168715473055903
CM,country,1118.0,29123744,0.0013881525279151514,3.8387921552943194,0.27337666910585307,0.25735172153779545,0.2894016166739107
CO,country,6908.0,52886363,0.00857724299001598,13.061968356568592,0.9301981604708682,0.9082622642275915,0.9521340567141449
CR,country,772.0,5129910,0.0009585453949467771,15.048996960960329,1.071702894072424,0.9961028889913476,1.1473028991535006
CY,country,681.0,1358282,0.0008455562356978694,50.13686406799177,3.570458713014033,3.3022909736884487,3.8386264523396174
CZ,country,3027.0,10905028,0.0037584415939169616,27.757837944111653,1.9767533567233484,1.9063323311150306,2.047174382331666
DE,country,30270.0,83516593,0.03758441593916962,36.24429459185434,2.581109924367018,2.552032471424514,2.6101873773095217
DK,country,2537.0,5976992,0.003150038428730536,42.44609997804916,3.0227667868211126,2.9051415585026232,3.140392015139602
DO,country,1244.0,11427557,0.0015445990561059465,10.885966265580649,0.7752358234812932,0.7321554247423984,0.818316222220188
DZ,country,2107.0,46814308,0.0026161336103016314,4.500760750324452,0.3205182600649875,0.3068322586658742,0.33420426146410076
EC,country,1187.0,18135478,0.0014738256266863012,6.545181770229602,0.466110150967664,0.43959346331351506,0.492626838621813
EE,country,741.0,1372341,0.000920054582455391,53.9953262345146,3.8452361670369615,3.568369937826064,4.1221023962478585
EG,country,4584.0,116538258,0.005691673692274646,3.933472216480188,0.2801192377864819,0.272010062226018,0.2882284133469458
ES,country,15640.0,48848840,0.019419235721460613,32.01713694736661,2.2800761017773716,2.2443416569204007,2.315810546634343
FI,country,2050.0,5619911,0.002545360180881986,36.4774459951412,2.597713624554332,2.4852607884472695,2.710166460661395
FR,country,32332.0,68551653,0.04014467578940311,47.164435261685085,3.358779452103355,3.322167635860227,3.395391268346483
GB,country,35869.0,69226000,0.044536353330759004,51.814347210585616,3.6899194015462475,3.6517325971304424,3.728106205962052
GE,country,1324.0,3699557,0.0016439301851159753,35.78806867957434,2.548620142369607,2.411337006816208,2.6859032779230056
GH,country,1639.0,34427414,0.0020350465055929633,4.760740960677442,0.339032553380326,0.3226187965502333,0.3554463102104187
GR,country,2108.0,10405134,0.002617375249414257,20.259229722558114,1.4427456648219095,1.3811556163199252,1.5043357133238937
GT,country,734.0,18406359,0.0009113631086670135,3.9877522762649584,0.28398475103714377,0.2634398969104759,0.3045296051638116
HN,country,367.0,10825703,0.00045568155433350677,3.390080071474342,0.2414219786980712,0.21672181427203424,0.26612214312410815
HR,country,1084.0,3866200,0.001345936798085889,28.03786663907713,1.9966953876504834,1.8778305928473904,2.115560182453576
HT,country,237.0,11772557,0.0002942684696922101,2.01315653005545,0.1433654139925846,0.12511274863777394,0.16161807934739525
HU,country,1647.0,9562065,0.0020449796184939663,17.224312949138078,1.2266163707712288,1.1673759644829826,1.2858567770594749
ID,country,12692.0,283487931,0.015758883617441058,4.477086539532436,0.31883231911579984,0.3132853802711508,0.3243792579604488
IE,country,2577.0,5395790,0.00319970399323555,47.75945690992422,3.4011534670697943,3.2698352157975217,3.5324717183420664
IL,country,6872.0,9974400,0.008532543981961467,68.89637471928135,4.9064030226929,4.790397753773546,5.022408291612255
IN,country,61627.0,1450935791,0.076518493593763,4.247396775395969,0.3024751369326654,0.3000869944191229,0.30486327944620795
IQ,country,2580.0,46042015,0.003203428910573426,5.6035775150153615,0.39905451875497633,0.38365601755011014,0.4144530199598425
IT,country,17373.0,58952704,0.02157099630364036,29.469386170988866,2.0986399643721674,2.0674326353062904,2.1298472934380444
