source,geo_id,geo_level,country_code,metric,x,n,share,lo,hi
api,GLOBAL,global,,automation_share,676292.0,848056.0,0.7974614883922759,0.7966047748438285,0.798315507017564
api,GLOBAL,global,,coursework_share,56659.0,999549.0,0.05668456473869715,0.05623293574596384,0.057139601336321816
api,GLOBAL,global,,success_rate,505476.0,999999.0,0.5054765054765055,0.5044965446163966,0.506456424259647
api,GLOBAL,global,,work_share,741504.0,999549.0,0.7418385691947068,0.7409797058266308,0.7426955736374538
claude_ai,AE,country,AE,automation_share,1971.0,4559.0,0.4323316516779996,0.41801396177527644,0.4467632858065814
claude_ai,AE,country,AE,coursework_share,399.0,4703.0,0.08483946417180523,0.07721062585190559,0.09314598865579317
claude_ai,AE,country,AE,success_rate,3195.0,4704.0,0.6792091836734694,0.6657282257423589,0.6923976721213245
claude_ai,AE,country,AE,work_share,2608.0,4703.0,0.5545396555390176,0.5402959297466705,0.568694353673957
claude_ai,AE-AZ,subregion,AE,automation_share,369.0,818.0,0.4511002444987775,0.41730721045036917,0.4853504306327787
claude_ai,AE-AZ,subregion,AE,coursework_share,122.0,845.0,0.14437869822485208,0.12228865068766137,0.1696876143775758
claude_ai,AE-AZ,subregion,AE,success_rate,569.0,845.0,0.6733727810650888,0.6410285859499809,0.7041477107819417
claude_ai,AE-AZ,subregion,AE,work_share,417.0,845.0,0.493491124260355,0.4598867678343715,0.5271543950869556
claude_ai,AE-DU,subregion,AE,automation_share,1380.0,3262.0,0.4230533415082771,0.40619930108826774,0.4400884061906156
claude_ai,AE-DU,subregion,AE,coursework_share,203.0,3364.0,0.0603448275862069,0.052788329814784145,0.06890432936491124
claude_ai,AE-DU,subregion,AE,success_rate,2289.0,3365.0,0.6802377414561664,0.664281624421469,0.6957827965355743
claude_ai,AE-DU,subregion,AE,work_share,1958.0,3364.0,0.5820451843043996,0.5652933194161116,0.5986098760310852
claude_ai,AE-SH,subregion,AE,automation_share,153.0,319.0,0.47962382445141066,0.42536902321648007,0.5343635515198613
claude_ai,AE-SH,subregion,AE,coursework_share,50.0,347.0,0.1440922190201729,0.11103518193581798,0.1849434021317498
claude_ai,AE-SH,subregion,AE,success_rate,246.0,347.0,0.7089337175792507,0.6590574943915268,0.7542344299412774
claude_ai,AE-SH,subregion,AE,work_share,166.0,347.0,0.4783861671469741,0.4263508651136681,0.5308947978863866
claude_ai,AL,country,AL,automation_share,181.0,366.0,0.49453551912568305,0.443636608210459,0.5455479508007501
claude_ai,AL,country,AL,coursework_share,60.0,381.0,0.15748031496062992,0.12434615302726014,0.19745273773714786
claude_ai,AL,country,AL,success_rate,259.0,381.0,0.6797900262467191,0.6313463962652951,0.7246442242913181
claude_ai,AL,country,AL,work_share,175.0,381.0,0.45931758530183725,0.4099319642132179,0.5095154136170374
claude_ai,AL-11,subregion,AL,automation_share,138.0,279.0,0.4946236559139785,0.43642873806232757,0.5529646185019119
claude_ai,AL-11,subregion,AL,coursework_share,50.0,287.0,0.17421602787456447,0.13471546201770093,0.22232287087553024
