geo_id,name,level,population,as_of,source
CA,Canada,country,41417056,2026-04-01,Statistics Canada Table 17-10-0009-01 (preliminary)
CA-NL,Newfoundland and Labrador,province,547910,2026-04-01,Statistics Canada Table 17-10-0009-01 (preliminary)
CA-PE,Prince Edward Island,province,181715,2026-04-01,Statistics Canada Table 17-10-0009-01 (preliminary)
CA-NS,Nova Scotia,province,1090852,2026-04-01,Statistics Canada Table 17-10-0009-01 (preliminary)
CA-NB,New Brunswick,province,866497,2026-04-01,Statistics Canada Table 17-10-0009-01 (preliminary)
CA-QC,Quebec,province,9016222,2026-04-01,Statistics Canada Table 17-10-0009-01 (preliminary)
CA-ON,Ontario,province,16103890,2026-04-01,Statistics Canada Table 17-10-0009-01 (preliminary)
CA-MB,Manitoba,province,1503865,2026-04-01,Statistics Canada Table 17-10-0009-01 (preliminary)
CA-SK,Saskatchewan,province,1266092,2026-04-01,Statistics Canada Table 17-10-0009-01 (preliminary)
CA-AB,Alberta,province,5057077,2026-04-01,Statistics Canada Table 17-10-0009-01 (preliminary)
CA-BC,British Columbia,province,5646420,2026-04-01,Statistics Canada Table 17-10-0009-01 (preliminary)
CA-YT,Yukon,province,48493,2026-04-01,Statistics Canada Table 17-10-0009-01 (preliminary)
CA-NT,Northwest Territories,province,45808,2026-04-01,Statistics Canada Table 17-10-0009-01 (preliminary)
CA-NU,Nunavut,province,42215,2026-04-01,Statistics Canada Table 17-10-0009-01 (preliminary)
